player,year,points
Vladimir Tarasenko,2007,0
Vladimir Tarasenko,2008,0
Vladimir Tarasenko,2009,0
Vladimir Tarasenko,2010,0
Vladimir Tarasenko,2011,0
Vladimir Tarasenko,2012,0
Vladimir Tarasenko,2013,0
Vladimir Tarasenko,2014,73
Vladimir Tarasenko,2015,0
Vladimir Tarasenko,2016,75
Vladimir Tarasenko,2017,0
Vladimir Tarasenko,2018,0
Vladimir Tarasenko,2019,0
Vladimir Tarasenko,2020,0
Vladimir Tarasenko,2021,0
Evgeny Kuznetsov,2007,0
Evgeny Kuznetsov,2008,0
Evgeny Kuznetsov,2009,0
Evgeny Kuznetsov,2010,0
Evgeny Kuznetsov,2011,0
Evgeny Kuznetsov,2012,0
Evgeny Kuznetsov,2013,0
Evgeny Kuznetsov,2014,0
Evgeny Kuznetsov,2015,77
Evgeny Kuznetsov,2016,0
Evgeny Kuznetsov,2017,0
Evgeny Kuznetsov,2018,0
Evgeny Kuznetsov,2019,0
Evgeny Kuznetsov,2020,0
Evgeny Kuznetsov,2021,0
Ryan Getzlaf,2007,0
Ryan Getzlaf,2008,91
Ryan Getzlaf,2009,0
Ryan Getzlaf,2010,0
Ryan Getzlaf,2011,0
Ryan Getzlaf,2012,49
Ryan Getzlaf,2013,87
Ryan Getzlaf,2014,0
Ryan Getzlaf,2015,0
Ryan Getzlaf,2016,0
Ryan Getzlaf,2017,0
Ryan Getzlaf,2018,0
Ryan Getzlaf,2019,0
Ryan Getzlaf,2020,0
Ryan Getzlaf,2021,0
John Tavares,2007,0
John Tavares,2008,0
John Tavares,2009,0
John Tavares,2010,0
John Tavares,2011,81
John Tavares,2012,0
John Tavares,2013,0
John Tavares,2014,86
John Tavares,2015,0
John Tavares,2016,0
John Tavares,2017,0
John Tavares,2018,0
John Tavares,2019,0
John Tavares,2020,0
John Tavares,2021,0
Leon Draisaitl,2007,0
Leon Draisaitl,2008,0
Leon Draisaitl,2009,0
Leon Draisaitl,2010,0
Leon Draisaitl,2011,0
Leon Draisaitl,2012,0
Leon Draisaitl,2013,0
Leon Draisaitl,2014,0
Leon Draisaitl,2015,0
Leon Draisaitl,2016,77
Leon Draisaitl,2017,0
Leon Draisaitl,2018,105
Leon Draisaitl,2019,110
Leon Draisaitl,2020,84
Leon Draisaitl,2021,110
Patrik Elias,2007,0
Patrik Elias,2008,0
Patrik Elias,2009,0
Patrik Elias,2010,0
Patrik Elias,2011,78
Patrik Elias,2012,0
Patrik Elias,2013,0
Patrik Elias,2014,0
Patrik Elias,2015,0
Patrik Elias,2016,0
Patrik Elias,2017,0
Patrik Elias,2018,0
Patrik Elias,2019,0
Patrik Elias,2020,0
Patrik Elias,2021,0
Martin St. Louis,2007,0
Martin St. Louis,2008,0
Martin St. Louis,2009,94
Martin St. Louis,2010,99
Martin St. Louis,2011,0
Martin St. Louis,2012,60
Martin St. Louis,2013,0
Martin St. Louis,2014,0
Martin St. Louis,2015,0
Martin St. Louis,2016,0
Martin St. Louis,2017,0
Martin St. Louis,2018,0
Martin St. Louis,2019,0
Martin St. Louis,2020,0
Martin St. Louis,2021,0
Henrik Sedin,2007,0
Henrik Sedin,2008,0
Henrik Sedin,2009,112
Henrik Sedin,2010,94
Henrik Sedin,2011,81
Henrik Sedin,2012,0
Henrik Sedin,2013,0
Henrik Sedin,2014,0
Henrik Sedin,2015,0
Henrik Sedin,2016,0
Henrik Sedin,2017,0
Henrik Sedin,2018,0
Henrik Sedin,2019,0
Henrik Sedin,2020,0
Henrik Sedin,2021,0
Daniel Sedin,2007,0
Daniel Sedin,2008,0
Daniel Sedin,2009,0
Daniel Sedin,2010,104
Daniel Sedin,2011,0
Daniel Sedin,2012,0
Daniel Sedin,2013,0
Daniel Sedin,2014,76
Daniel Sedin,2015,0
Daniel Sedin,2016,0
Daniel Sedin,2017,0
Daniel Sedin,2018,0
Daniel Sedin,2019,0
Daniel Sedin,2020,0
Daniel Sedin,2021,0
Joe Thornton,2007,96
Joe Thornton,2008,0
Joe Thornton,2009,89
Joe Thornton,2010,0
Joe Thornton,2011,0
Joe Thornton,2012,0
Joe Thornton,2013,0
Joe Thornton,2014,0
Joe Thornton,2015,82
Joe Thornton,2016,0
Joe Thornton,2017,0
Joe Thornton,2018,0
Joe Thornton,2019,0
Joe Thornton,2020,0
Joe Thornton,2021,0
Henrik Zetterberg,2007,92
Henrik Zetterberg,2008,0
Henrik Zetterberg,2009,0
Henrik Zetterberg,2010,80
Henrik Zetterberg,2011,0
Henrik Zetterberg,2012,0
Henrik Zetterberg,2013,0
Henrik Zetterberg,2014,0
Henrik Zetterberg,2015,0
Henrik Zetterberg,2016,0
Henrik Zetterberg,2017,0
Henrik Zetterberg,2018,0
Henrik Zetterberg,2019,0
Henrik Zetterberg,2020,0
Henrik Zetterberg,2021,0
Vincent Lecavalier,2007,92
Vincent Lecavalier,2008,0
Vincent Lecavalier,2009,0
Vincent Lecavalier,2010,0
Vincent Lecavalier,2011,0
Vincent Lecavalier,2012,0
Vincent Lecavalier,2013,0
Vincent Lecavalier,2014,0
Vincent Lecavalier,2015,0
Vincent Lecavalier,2016,0
Vincent Lecavalier,2017,0
Vincent Lecavalier,2018,0
Vincent Lecavalier,2019,0
Vincent Lecavalier,2020,0
Vincent Lecavalier,2021,0
Brad Richards,2007,0
Brad Richards,2008,0
Brad Richards,2009,91
Brad Richards,2010,77
Brad Richards,2011,0
Brad Richards,2012,0
Brad Richards,2013,0
Brad Richards,2014,0
Brad Richards,2015,0
Brad Richards,2016,0
Brad Richards,2017,0
Brad Richards,2018,0
Brad Richards,2019,0
Brad Richards,2020,0
Brad Richards,2021,0
Brad Marchand,2007,0
Brad Marchand,2008,0
Brad Marchand,2009,0
Brad Marchand,2010,0
Brad Marchand,2011,0
Brad Marchand,2012,0
Brad Marchand,2013,0
Brad Marchand,2014,0
Brad Marchand,2015,0
Brad Marchand,2016,85
Brad Marchand,2017,0
Brad Marchand,2018,100
Brad Marchand,2019,87
Brad Marchand,2020,69
Brad Marchand,2021,0
Erik Karlsson,2007,0
Erik Karlsson,2008,0
Erik Karlsson,2009,0
Erik Karlsson,2010,0
Erik Karlsson,2011,0
Erik Karlsson,2012,0
Erik Karlsson,2013,0
Erik Karlsson,2014,0
Erik Karlsson,2015,82
Erik Karlsson,2016,0
Erik Karlsson,2017,0
Erik Karlsson,2018,0
Erik Karlsson,2019,0
Erik Karlsson,2020,0
Erik Karlsson,2021,0
Aleksander Barkov,2007,0
Aleksander Barkov,2008,0
Aleksander Barkov,2009,0
Aleksander Barkov,2010,0
Aleksander Barkov,2011,0
Aleksander Barkov,2012,0
Aleksander Barkov,2013,0
Aleksander Barkov,2014,0
Aleksander Barkov,2015,0
Aleksander Barkov,2016,0
Aleksander Barkov,2017,0
Aleksander Barkov,2018,96
Aleksander Barkov,2019,0
Aleksander Barkov,2020,0
Aleksander Barkov,2021,0
Ilya Kovalchuk,2007,87
Ilya Kovalchuk,2008,91
Ilya Kovalchuk,2009,0
Ilya Kovalchuk,2010,0
Ilya Kovalchuk,2011,83
Ilya Kovalchuk,2012,0
Ilya Kovalchuk,2013,0
Ilya Kovalchuk,2014,0
Ilya Kovalchuk,2015,0
Ilya Kovalchuk,2016,0
Ilya Kovalchuk,2017,0
Ilya Kovalchuk,2018,0
Ilya Kovalchuk,2019,0
Ilya Kovalchuk,2020,0
Ilya Kovalchuk,2021,0
Sidney Crosby,2007,0
Sidney Crosby,2008,103
Sidney Crosby,2009,109
Sidney Crosby,2010,0
Sidney Crosby,2011,0
Sidney Crosby,2012,56
Sidney Crosby,2013,104
Sidney Crosby,2014,84
Sidney Crosby,2015,85
Sidney Crosby,2016,89
Sidney Crosby,2017,89
Sidney Crosby,2018,100
Sidney Crosby,2019,0
Sidney Crosby,2020,62
Sidney Crosby,2021,0
Marian Gaborik,2007,0
Marian Gaborik,2008,0
Marian Gaborik,2009,86
Marian Gaborik,2010,0
Marian Gaborik,2011,0
Marian Gaborik,2012,0
Marian Gaborik,2013,0
Marian Gaborik,2014,0
Marian Gaborik,2015,0
Marian Gaborik,2016,0
Marian Gaborik,2017,0
Marian Gaborik,2018,0
Marian Gaborik,2019,0
Marian Gaborik,2020,0
Marian Gaborik,2021,0
Corey Perry,2007,0
Corey Perry,2008,0
Corey Perry,2009,0
Corey Perry,2010,98
Corey Perry,2011,0
Corey Perry,2012,0
Corey Perry,2013,82
Corey Perry,2014,0
Corey Perry,2015,0
Corey Perry,2016,0
Corey Perry,2017,0
Corey Perry,2018,0
Corey Perry,2019,0
Corey Perry,2020,0
Corey Perry,2021,0
Brent Burns,2007,0
Brent Burns,2008,0
Brent Burns,2009,0
Brent Burns,2010,0
Brent Burns,2011,0
Brent Burns,2012,0
Brent Burns,2013,0
Brent Burns,2014,0
Brent Burns,2015,0
Brent Burns,2016,76
Brent Burns,2017,0
Brent Burns,2018,0
Brent Burns,2019,0
Brent Burns,2020,0
Brent Burns,2021,0
Auston Matthews,2007,0
Auston Matthews,2008,0
Auston Matthews,2009,0
Auston Matthews,2010,0
Auston Matthews,2011,0
Auston Matthews,2012,0
Auston Matthews,2013,0
Auston Matthews,2014,0
Auston Matthews,2015,0
Auston Matthews,2016,0
Auston Matthews,2017,0
Auston Matthews,2018,0
Auston Matthews,2019,80
Auston Matthews,2020,66
Auston Matthews,2021,106
Jack Eichel,2007,0
Jack Eichel,2008,0
Jack Eichel,2009,0
Jack Eichel,2010,0
Jack Eichel,2011,0
Jack Eichel,2012,0
Jack Eichel,2013,0
Jack Eichel,2014,0
Jack Eichel,2015,0
Jack Eichel,2016,0
Jack Eichel,2017,0
Jack Eichel,2018,0
Jack Eichel,2019,78
Jack Eichel,2020,0
Jack Eichel,2021,0
Jarome Iginla,2007,98
Jarome Iginla,2008,89
Jarome Iginla,2009,0
Jarome Iginla,2010,86
Jarome Iginla,2011,0
Jarome Iginla,2012,0
Jarome Iginla,2013,0
Jarome Iginla,2014,0
Jarome Iginla,2015,0
Jarome Iginla,2016,0
Jarome Iginla,2017,0
Jarome Iginla,2018,0
Jarome Iginla,2019,0
Jarome Iginla,2020,0
Jarome Iginla,2021,0
Nicklas Backstrom,2007,0
Nicklas Backstrom,2008,88
Nicklas Backstrom,2009,101
Nicklas Backstrom,2010,0
Nicklas Backstrom,2011,0
Nicklas Backstrom,2012,0
Nicklas Backstrom,2013,0
Nicklas Backstrom,2014,78
Nicklas Backstrom,2015,0
Nicklas Backstrom,2016,86
Nicklas Backstrom,2017,0
Nicklas Backstrom,2018,0
Nicklas Backstrom,2019,0
Nicklas Backstrom,2020,0
Nicklas Backstrom,2021,0
Teemu Selanne,2007,0
Teemu Selanne,2008,0
Teemu Selanne,2009,0
Teemu Selanne,2010,80
Teemu Selanne,2011,0
Teemu Selanne,2012,0
Teemu Selanne,2013,0
Teemu Selanne,2014,0
Teemu Selanne,2015,0
Teemu Selanne,2016,0
Teemu Selanne,2017,0
Teemu Selanne,2018,0
Teemu Selanne,2019,0
Teemu Selanne,2020,0
Teemu Selanne,2021,0
Zach Parise,2007,0
Zach Parise,2008,94
Zach Parise,2009,0
Zach Parise,2010,0
Zach Parise,2011,0
Zach Parise,2012,0
Zach Parise,2013,0
Zach Parise,2014,0
Zach Parise,2015,0
Zach Parise,2016,0
Zach Parise,2017,0
Zach Parise,2018,0
Zach Parise,2019,0
Zach Parise,2020,0
Zach Parise,2021,0
Jamie Benn,2007,0
Jamie Benn,2008,0
Jamie Benn,2009,0
Jamie Benn,2010,0
Jamie Benn,2011,0
Jamie Benn,2012,0
Jamie Benn,2013,79
Jamie Benn,2014,87
Jamie Benn,2015,89
Jamie Benn,2016,0
Jamie Benn,2017,0
Jamie Benn,2018,0
Jamie Benn,2019,0
Jamie Benn,2020,0
Jamie Benn,2021,0
Artemi Panarin,2007,0
Artemi Panarin,2008,0
Artemi Panarin,2009,0
Artemi Panarin,2010,0
Artemi Panarin,2011,0
Artemi Panarin,2012,0
Artemi Panarin,2013,0
Artemi Panarin,2014,0
Artemi Panarin,2015,77
Artemi Panarin,2016,0
Artemi Panarin,2017,0
Artemi Panarin,2018,0
Artemi Panarin,2019,95
Artemi Panarin,2020,0
Artemi Panarin,2021,0
Mark Scheifele,2007,0
Mark Scheifele,2008,0
Mark Scheifele,2009,0
Mark Scheifele,2010,0
Mark Scheifele,2011,0
Mark Scheifele,2012,0
Mark Scheifele,2013,0
Mark Scheifele,2014,0
Mark Scheifele,2015,0
Mark Scheifele,2016,82
Mark Scheifele,2017,0
Mark Scheifele,2018,0
Mark Scheifele,2019,0
Mark Scheifele,2020,63
Mark Scheifele,2021,0
Kirill Kaprizov,2007,0
Kirill Kaprizov,2008,0
Kirill Kaprizov,2009,0
Kirill Kaprizov,2010,0
Kirill Kaprizov,2011,0
Kirill Kaprizov,2012,0
Kirill Kaprizov,2013,0
Kirill Kaprizov,2014,0
Kirill Kaprizov,2015,0
Kirill Kaprizov,2016,0
Kirill Kaprizov,2017,0
Kirill Kaprizov,2018,0
Kirill Kaprizov,2019,0
Kirill Kaprizov,2020,0
Kirill Kaprizov,2021,108
David Pastrnak,2007,0
David Pastrnak,2008,0
David Pastrnak,2009,0
David Pastrnak,2010,0
David Pastrnak,2011,0
David Pastrnak,2012,0
David Pastrnak,2013,0
David Pastrnak,2014,0
David Pastrnak,2015,0
David Pastrnak,2016,0
David Pastrnak,2017,0
David Pastrnak,2018,0
David Pastrnak,2019,95
David Pastrnak,2020,0
David Pastrnak,2021,0
Blake Wheeler,2007,0
Blake Wheeler,2008,0
Blake Wheeler,2009,0
Blake Wheeler,2010,0
Blake Wheeler,2011,0
Blake Wheeler,2012,0
Blake Wheeler,2013,0
Blake Wheeler,2014,0
Blake Wheeler,2015,78
Blake Wheeler,2016,0
Blake Wheeler,2017,91
Blake Wheeler,2018,0
Blake Wheeler,2019,0
Blake Wheeler,2020,0
Blake Wheeler,2021,0
Nikita Kucherov,2007,0
Nikita Kucherov,2008,0
Nikita Kucherov,2009,0
Nikita Kucherov,2010,0
Nikita Kucherov,2011,0
Nikita Kucherov,2012,0
Nikita Kucherov,2013,0
Nikita Kucherov,2014,0
Nikita Kucherov,2015,0
Nikita Kucherov,2016,85
Nikita Kucherov,2017,100
Nikita Kucherov,2018,128
Nikita Kucherov,2019,85
Nikita Kucherov,2020,0
Nikita Kucherov,2021,0
Nathan MacKinnon,2007,0
Nathan MacKinnon,2008,0
Nathan MacKinnon,2009,0
Nathan MacKinnon,2010,0
Nathan MacKinnon,2011,0
Nathan MacKinnon,2012,0
Nathan MacKinnon,2013,0
Nathan MacKinnon,2014,0
Nathan MacKinnon,2015,0
Nathan MacKinnon,2016,0
Nathan MacKinnon,2017,97
Nathan MacKinnon,2018,99
Nathan MacKinnon,2019,93
Nathan MacKinnon,2020,65
Nathan MacKinnon,2021,0
Anze Kopitar,2007,0
Anze Kopitar,2008,0
Anze Kopitar,2009,0
Anze Kopitar,2010,0
Anze Kopitar,2011,0
Anze Kopitar,2012,0
Anze Kopitar,2013,0
Anze Kopitar,2014,0
Anze Kopitar,2015,0
Anze Kopitar,2016,0
Anze Kopitar,2017,92
Anze Kopitar,2018,0
Anze Kopitar,2019,0
Anze Kopitar,2020,0
Anze Kopitar,2021,0
Pavel Datsyuk,2007,97
Pavel Datsyuk,2008,97
Pavel Datsyuk,2009,0
Pavel Datsyuk,2010,0
Pavel Datsyuk,2011,0
Pavel Datsyuk,2012,0
Pavel Datsyuk,2013,0
Pavel Datsyuk,2014,0
Pavel Datsyuk,2015,0
Pavel Datsyuk,2016,0
Pavel Datsyuk,2017,0
Pavel Datsyuk,2018,0
Pavel Datsyuk,2019,0
Pavel Datsyuk,2020,0
Pavel Datsyuk,2021,0
Jonathan Huberdeau,2007,0
Jonathan Huberdeau,2008,0
Jonathan Huberdeau,2009,0
Jonathan Huberdeau,2010,0
Jonathan Huberdeau,2011,0
Jonathan Huberdeau,2012,0
Jonathan Huberdeau,2013,0
Jonathan Huberdeau,2014,0
Jonathan Huberdeau,2015,0
Jonathan Huberdeau,2016,0
Jonathan Huberdeau,2017,0
Jonathan Huberdeau,2018,0
Jonathan Huberdeau,2019,0
Jonathan Huberdeau,2020,0
Jonathan Huberdeau,2021,115
Connor McDavid,2007,0
Connor McDavid,2008,0
Connor McDavid,2009,0
Connor McDavid,2010,0
Connor McDavid,2011,0
Connor McDavid,2012,0
Connor McDavid,2013,0
Connor McDavid,2014,0
Connor McDavid,2015,0
Connor McDavid,2016,100
Connor McDavid,2017,108
Connor McDavid,2018,116
Connor McDavid,2019,97
Connor McDavid,2020,105
Connor McDavid,2021,123
Jiri Hudler,2007,0
Jiri Hudler,2008,0
Jiri Hudler,2009,0
Jiri Hudler,2010,0
Jiri Hudler,2011,0
Jiri Hudler,2012,0
Jiri Hudler,2013,0
Jiri Hudler,2014,76
Jiri Hudler,2015,0
Jiri Hudler,2016,0
Jiri Hudler,2017,0
Jiri Hudler,2018,0
Jiri Hudler,2019,0
Jiri Hudler,2020,0
Jiri Hudler,2021,0
Evgeni Malkin,2007,106
Evgeni Malkin,2008,113
Evgeni Malkin,2009,0
Evgeni Malkin,2010,0
Evgeni Malkin,2011,109
Evgeni Malkin,2012,0
Evgeni Malkin,2013,0
Evgeni Malkin,2014,0
Evgeni Malkin,2015,0
Evgeni Malkin,2016,0
Evgeni Malkin,2017,98
Evgeni Malkin,2018,0
Evgeni Malkin,2019,0
Evgeni Malkin,2020,0
Evgeni Malkin,2021,0
Tyler Seguin,2007,0
Tyler Seguin,2008,0
Tyler Seguin,2009,0
Tyler Seguin,2010,0
Tyler Seguin,2011,0
Tyler Seguin,2012,0
Tyler Seguin,2013,84
Tyler Seguin,2014,77
Tyler Seguin,2015,0
Tyler Seguin,2016,0
Tyler Seguin,2017,0
Tyler Seguin,2018,0
Tyler Seguin,2019,0
Tyler Seguin,2020,0
Tyler Seguin,2021,0
Eric Staal,2007,0
Eric Staal,2008,0
Eric Staal,2009,0
Eric Staal,2010,0
Eric Staal,2011,0
Eric Staal,2012,53
Eric Staal,2013,0
Eric Staal,2014,0
Eric Staal,2015,0
Eric Staal,2016,0
Eric Staal,2017,0
Eric Staal,2018,0
Eric Staal,2019,0
Eric Staal,2020,0
Eric Staal,2021,0
Claude Giroux,2007,0
Claude Giroux,2008,0
Claude Giroux,2009,0
Claude Giroux,2010,0
Claude Giroux,2011,93
Claude Giroux,2012,0
Claude Giroux,2013,86
Claude Giroux,2014,0
Claude Giroux,2015,0
Claude Giroux,2016,0
Claude Giroux,2017,102
Claude Giroux,2018,0
Claude Giroux,2019,0
Claude Giroux,2020,0
Claude Giroux,2021,0
Phil Kessel,2007,0
Phil Kessel,2008,0
Phil Kessel,2009,0
Phil Kessel,2010,0
Phil Kessel,2011,82
Phil Kessel,2012,52
Phil Kessel,2013,80
Phil Kessel,2014,0
Phil Kessel,2015,0
Phil Kessel,2016,0
Phil Kessel,2017,92
Phil Kessel,2018,0
Phil Kessel,2019,0
Phil Kessel,2020,0
Phil Kessel,2021,0
Jason Spezza,2007,92
Jason Spezza,2008,0
Jason Spezza,2009,0
Jason Spezza,2010,0
Jason Spezza,2011,84
Jason Spezza,2012,0
Jason Spezza,2013,0
Jason Spezza,2014,0
Jason Spezza,2015,0
Jason Spezza,2016,0
Jason Spezza,2017,0
Jason Spezza,2018,0
Jason Spezza,2019,0
Jason Spezza,2020,0
Jason Spezza,2021,0
Steven Stamkos,2007,0
Steven Stamkos,2008,0
Steven Stamkos,2009,95
Steven Stamkos,2010,91
Steven Stamkos,2011,97
Steven Stamkos,2012,57
Steven Stamkos,2013,0
Steven Stamkos,2014,0
Steven Stamkos,2015,0
Steven Stamkos,2016,0
Steven Stamkos,2017,0
Steven Stamkos,2018,98
Steven Stamkos,2019,0
Steven Stamkos,2020,0
Steven Stamkos,2021,106
James Neal,2007,0
James Neal,2008,0
James Neal,2009,0
James Neal,2010,0
James Neal,2011,81
James Neal,2012,0
James Neal,2013,0
James Neal,2014,0
James Neal,2015,0
James Neal,2016,0
James Neal,2017,0
James Neal,2018,0
James Neal,2019,0
James Neal,2020,0
James Neal,2021,0
Taylor Hall,2007,0
Taylor Hall,2008,0
Taylor Hall,2009,0
Taylor Hall,2010,0
Taylor Hall,2011,0
Taylor Hall,2012,50
Taylor Hall,2013,80
Taylor Hall,2014,0
Taylor Hall,2015,0
Taylor Hall,2016,0
Taylor Hall,2017,93
Taylor Hall,2018,0
Taylor Hall,2019,0
Taylor Hall,2020,0
Taylor Hall,2021,0
Marc Savard,2007,0
Marc Savard,2008,88
Marc Savard,2009,0
Marc Savard,2010,0
Marc Savard,2011,0
Marc Savard,2012,0
Marc Savard,2013,0
Marc Savard,2014,0
Marc Savard,2015,0
Marc Savard,2016,0
Marc Savard,2017,0
Marc Savard,2018,0
Marc Savard,2019,0
Marc Savard,2020,0
Marc Savard,2021,0
Daniel Alfredsson,2007,89
Daniel Alfredsson,2008,0
Daniel Alfredsson,2009,0
Daniel Alfredsson,2010,0
Daniel Alfredsson,2011,0
Daniel Alfredsson,2012,0
Daniel Alfredsson,2013,0
Daniel Alfredsson,2014,0
Daniel Alfredsson,2015,0
Daniel Alfredsson,2016,0
Daniel Alfredsson,2017,0
Daniel Alfredsson,2018,0
Daniel Alfredsson,2019,0
Daniel Alfredsson,2020,0
Daniel Alfredsson,2021,0
Mikko Rantanen,2007,0
Mikko Rantanen,2008,0
Mikko Rantanen,2009,0
Mikko Rantanen,2010,0
Mikko Rantanen,2011,0
Mikko Rantanen,2012,0
Mikko Rantanen,2013,0
Mikko Rantanen,2014,0
Mikko Rantanen,2015,0
Mikko Rantanen,2016,0
Mikko Rantanen,2017,0
Mikko Rantanen,2018,0
Mikko Rantanen,2019,0
Mikko Rantanen,2020,66
Mikko Rantanen,2021,0
Matthew Tkachuk,2007,0
Matthew Tkachuk,2008,0
Matthew Tkachuk,2009,0
Matthew Tkachuk,2010,0
Matthew Tkachuk,2011,0
Matthew Tkachuk,2012,0
Matthew Tkachuk,2013,0
Matthew Tkachuk,2014,0
Matthew Tkachuk,2015,0
Matthew Tkachuk,2016,0
Matthew Tkachuk,2017,0
Matthew Tkachuk,2018,0
Matthew Tkachuk,2019,0
Matthew Tkachuk,2020,0
Matthew Tkachuk,2021,104
Mitchell Marner,2007,0
Mitchell Marner,2008,0
Mitchell Marner,2009,0
Mitchell Marner,2010,0
Mitchell Marner,2011,0
Mitchell Marner,2012,0
Mitchell Marner,2013,0
Mitchell Marner,2014,0
Mitchell Marner,2015,0
Mitchell Marner,2016,0
Mitchell Marner,2017,0
Mitchell Marner,2018,0
Mitchell Marner,2019,0
Mitchell Marner,2020,67
Mitchell Marner,2021,97
Johnny Gaudreau,2007,0
Johnny Gaudreau,2008,0
Johnny Gaudreau,2009,0
Johnny Gaudreau,2010,0
Johnny Gaudreau,2011,0
Johnny Gaudreau,2012,0
Johnny Gaudreau,2013,0
Johnny Gaudreau,2014,0
Johnny Gaudreau,2015,78
Johnny Gaudreau,2016,0
Johnny Gaudreau,2017,0
Johnny Gaudreau,2018,99
Johnny Gaudreau,2019,0
Johnny Gaudreau,2020,0
Johnny Gaudreau,2021,115
Chris Kunitz,2007,0
Chris Kunitz,2008,0
Chris Kunitz,2009,0
Chris Kunitz,2010,0
Chris Kunitz,2011,0
Chris Kunitz,2012,52
Chris Kunitz,2013,0
Chris Kunitz,2014,0
Chris Kunitz,2015,0
Chris Kunitz,2016,0
Chris Kunitz,2017,0
Chris Kunitz,2018,0
Chris Kunitz,2019,0
Chris Kunitz,2020,0
Chris Kunitz,2021,0
Joe Pavelski,2007,0
Joe Pavelski,2008,0
Joe Pavelski,2009,0
Joe Pavelski,2010,0
Joe Pavelski,2011,0
Joe Pavelski,2012,0
Joe Pavelski,2013,79
Joe Pavelski,2014,0
Joe Pavelski,2015,78
Joe Pavelski,2016,0
Joe Pavelski,2017,0
Joe Pavelski,2018,0
Joe Pavelski,2019,0
Joe Pavelski,2020,0
Joe Pavelski,2021,0
Jakub Voracek,2007,0
Jakub Voracek,2008,0
Jakub Voracek,2009,0
Jakub Voracek,2010,0
Jakub Voracek,2011,0
Jakub Voracek,2012,0
Jakub Voracek,2013,0
Jakub Voracek,2014,81
Jakub Voracek,2015,0
Jakub Voracek,2016,0
Jakub Voracek,2017,0
Jakub Voracek,2018,0
Jakub Voracek,2019,0
Jakub Voracek,2020,0
Jakub Voracek,2021,0
Patrick Kane,2007,0
Patrick Kane,2008,0
Patrick Kane,2009,88
Patrick Kane,2010,0
Patrick Kane,2011,0
Patrick Kane,2012,55
Patrick Kane,2013,0
Patrick Kane,2014,0
Patrick Kane,2015,106
Patrick Kane,2016,89
Patrick Kane,2017,0
Patrick Kane,2018,110
Patrick Kane,2019,84
Patrick Kane,2020,66
Patrick Kane,2021,0
Alexander Ovechkin,2007,112
Alexander Ovechkin,2008,110
Alexander Ovechkin,2009,109
Alexander Ovechkin,2010,85
Alexander Ovechkin,2011,0
Alexander Ovechkin,2012,56
Alexander Ovechkin,2013,79
Alexander Ovechkin,2014,81
Alexander Ovechkin,2015,0
Alexander Ovechkin,2016,0
Alexander Ovechkin,2017,0
Alexander Ovechkin,2018,0
Alexander Ovechkin,2019,0
Alexander Ovechkin,2020,0
Alexander Ovechkin,2021,0
J.T. Miller,2007,0
J.T. Miller,2008,0
J.T. Miller,2009,0
J.T. Miller,2010,0
J.T. Miller,2011,0
J.T. Miller,2012,0
J.T. Miller,2013,0
J.T. Miller,2014,0
J.T. Miller,2015,0
J.T. Miller,2016,0
J.T. Miller,2017,0
J.T. Miller,2018,0
J.T. Miller,2019,0
J.T. Miller,2020,0
J.T. Miller,2021,99
